English,Hebrew
route,"דרך, נתיב, מסלול"
routine,"שגרה, רוטינה; שגרתי"
rubbish,"זבל, אשפה; ""שטויות"""
rude,"גס רוח, חצוף"
rugged,"סלעי ומפורץ; קשוח, חזק, מחוספס"
ruin,"להרוס, להחריב"
rule,"לשלוט, למשול; לפסוק, לקבוע; חוק, כלל; שלטון"
ruler,"שליט, מושל; סרגל"
rumor,שמועה
rural,כפרי
ruthless,"אכזרי, חסר רחמים"
sabotage,לחבל; חבלה
sacred,"קדוש, מקודש"
sacrifice,להקריב; הקרבה
safety,"בטחון, בטיחות"
saga,"סיפור ארוך, סאגה"
salary,משכורת
salute,"לתת כבוד, להוריד את הכובע בפני-; להצדיע"
salvage,להציל (רכוש)
salvation,"גאולה, ישועה, הצלה"
same,"זהה, אותו דבר; דומה"
sample,"לדגום, לנסות; דוגמא, דגימה"
sanctify,לקדש
sanction,"לאשר, להרשות; אישור; עיצומים, סנקציה"
sanctity,קדושה
sanctuary,"מקום מקלט, מחסה"
sane,שפוי
sanitary,"היגייני, סניטרי, תברואתי"
sanitation,"תברואה, סניטציה"
sanity,שפיות
satisfaction,"שביעות רצון, סיפוק"
satisfactory,"משביע רצון, מספק"
satisfy,"לספק, להשביע רצון"
savage,"פרא אדם; פראי, אכזרי; פרימיטיבי"
savor,להתענג על טעם
saying,"אמרה, פתגם"
scan,לסרוק; סריקה
scant,"זעום, מועט מאוד"
scar,"צלקת; לצלק, להותיר צלקת"
scarce,"נדיר, יקר המציאות"
scarcely,"כמעט שלא, בקושי"
scare,"להפחיד, להבהיל"
scatter,לפזר; להתפזר
scene,"מֶראה, נוף; סצנה; זירת התרחשות"
scent,"ריח, ניחוח"
sceptic,skeptic כמו
schedule,"לתכנן, לקבוע מועד; לוח זמנים, תכנית"
scheme,"לרקום מזימה; מזימה, תחבולה; תכנית, סכימה"
science,מדע
scientific,מדעי
scientist,מדען
scold,"לגעור, לנזוף"
scoop,לחפון
scope,"תחום, טווח, היקף"
score,"לזכות בנקודות; לרשום נקודות; תוצאה, דרוג, ניקוד"
scorn,בוז
scrap,"חתיכה, פיסה"
scrape,"לקרצף, לשפשף, לגרד, לנקות"
scream,לצעוק; צעקה
screen,"מסך; לסנן, למיין; להסתיר"
scroll,מגילה; לגלול
scrupulous,"מצפוני, מוסרי"
scrutinize,לבחון בקפידה
scrutiny,בדיקה מדוקדקת
sculptor,צּףּל
sculpture,צּסל
seal,"לאטום, לסגור, לשים חותם; חותם, חותמת"
seam,תפר
search,לחפש; חיפוש
seclude,לבודד
secluded,מבודד
seclusion,התבודדות
secondary,"משני, שניוני"
secrecy,"סודיות, חשאיות"
secret,סוד; סודי
section,חלק; קטע; מדור
sector,"גיזרה, מגזר, סקטור"
secular,חילוני
secure,"לאבטח, להגן; לסגור היטב; בטוח, מוגן, מחוזק"
security,"ביטחון, אבטחה"
seduce,לפתות
seduction,פיתוי
seek,לחפש
seem,"להיראות, לעשות רושם ש-"
seemingly,"לכאורה, למראית-עין"
seep,לחלחל; לדלוף
segment,"מקטע; חלק, קטע"
segregate,"להפריד, לבודד, להבדיל (ההיפך מאינטגרציה)"
seize,לתפוס; לאחוז בכוח
seizure,התקף של מחלה
select,"לבחור, לברור; מובחר, נבחר"
selection,בחירה; מבחר
selective,"בררני, סלקטיבי"
self,"ה""אני"", זהות"
self-sufficient,"מספק את צרכיו בעצמו, עצמאי, לא תלוי באחרים"
selfish,"אנוכי, אגואיסטי"
send,לשלוח; לשגר
senior,בכיר; ותיק; מבוגר
sensation,תחושה; סנסציה
sense,"לחוש, להרגיש; חוש; שכל, הגיון"
sensible,"נבון, הגיוני"
sensitive,רגיש
sentence,"לגזור דין, לדון; גזר דין; משפט"
sentiment,"רגש, רגשנות"
separate,"להפריד, לנתק; להיפרד"
separate,"נפרד, נבדל"
separation,"הפרדה; היפרדות, ניתוק"
sequence,"רצף, השתלשלות, סידרה"
serene,"שלו, רגוע"
serial,"סידורי, סדרתי"
series,סידרה
serious,"רציני, חמור"
seriousness,"רצינות, חומרה"
servant,משרת
serve,לשרת; להגיש; לשמש; לרצות עונש
service,שירות; טיפול; טקס
set,"לשים; מערכת, סט; קבוע"
setback,"מכשול, עיכוב, הפרעה"
settle,"להתיישב, להשתקע; להסדיר"
settlement,"הסדר; יישוב, התנחלות"
several,"כמה, אחדים"
severe,"חמוּר, רציני"
severity,"חומרה, חריפות, עוצמה"
shabby,"בלוי, מרופט, מוזנח"
shadow,צללית; להטיל צל על-
shake,"לרעוד; לנער, לנענע"
shallow,"רדוד, לא עמוק; שטחי, לא מעמיק"
shame,לבייש; בושה
shameful,"מביש, מחפיר"
shape,"צורה, דמות; לעצב, ליצור צורה"
share,"להתחלק, לחלוק; חלק; מניה"
sharp,חד
sharpen,לחדד
shatter,לנפץ; להתנפץ
sheer,"מוחלט, ממש, לגמרי"
shelter,"להגן, לתת מחסה; מקלט, מחסה"
shift,"להעביר, להזיז, לשנות כיוון; החלפה; תזוזה, שינוי; משמרת"
shiver,"לרעוד; רעד, צמרמורת"
short,קצר; נמוך; חסר-
shortage,"מחסור; חוסר, גרעון"
shortcomings,"מגרעות, חסרונות"
shorten,"לקצר, להתקצר"
shout,לצעוק; צעקה
shove,דחיפה; לדחוף
show,"להראות, להציג; הצגה, מופע, תצוגה"
shrewd,"ממולח, פיקח, נבון"
shriek,"לצרוח, לצווח; צריחה, צווחה"
shrink,"לכווץ, להתכווץ"
shrivel,"להצטמק, לקמול; לצמק"
shrug,למשוך בכתפיים
shudder,"לרעוד, להתחלחל; רעד, צמרמורת, חלחלה"
shuffle,לערבב; ערבוב
shut,"לסגור, לנעול"
shy,ביישן
shyness,ביישנות
sibling,"אח, אחות"
side,"לצדד, לתמוך; צד; דופן; צדדי, משני"
siege,מצור
sigh,להיאנח; אנחה
sight,כושר ראייה; מראה
sign,סימן; שלט; לחתום; לאותת
signal,"לסמן, לאותת; סימן, אות"
signature,חתימה
significance,"חשיבות, משמעות"
significant,"משמעותי, חשוב"
signify,"לציין, להביע"
silence,"להשתיק, להשקיט; שתיקה, שקט"
silent,"שֵקט, שותק"
silk,משי
similar,דומה
similarity,דמיון
simple,פשוט
simplicity,פשטות
simplify,לפשט
simply,"פשוט, רק; בפשטות"
simulate,"להעמיד פנים, לחקות"
simulation,"סימולציה, הדמיה; העמדת פנים, חיקוי"
simultaneous,"בו-זמני, סימולטני"
sin,לחטוא; חטא
sincere,"כן, גלוי, אמיתי"
sincerity,כּנוּת
single,"יחיד, בודד; רווק"
singular,יחיד; מיוחד במינו
sinister,"מבשר רעות, מאיים"
site,"אתר, מקום"
situated,"ממוקם, נמצא, שוכן"
situation,מצב
size,"גודל, מידה"
skeptic,"ספקן, סקפטי"
skeptical,"ספקן, סקפטי"
skepticism,"סקפטיות, ספקנות"
skill,מיומנות; כישרון
skilled,מיומן
skillful,מיומן
skip,"לדלג; לקפוץ; דילוג, קפיצה"
slack,"רשלני, מתרשל"
slander,"להשמיץ, להוציא דיבה; השמצה, הוצאת דיבה"
slaughter,"לטבוח, לשחוט; טבח, שחיטה"
slave,עבד
slavery,עבדות
slight,"דק, קטן, קל"
slip,"להחליק; לחמוק; החלקה, מעידה"
slippery,חלקלק
slope,"שיפוע, מדרון"
slum,משכנות עוני
smooth,"להחליק, ליישר, להרגיע; חלק, ישר, ללא תקלות"
smuggle,"להבריח, להגניב"
sober,"פיכח, לא שיכור"
sociable,חברותי
social,חברתי; סוציאלי
society,"חברה, אגודה"
soft,רך; שקט ונעים
soften,לרכך; להתרכך
soil,"קרקע, אדמה"
sole,"יחיד, יחידי, בלעדי"
solemn,"רציני; חגיגי, רשמי"
solicit,לשדל
solid,"מוצק; חזק, איתן"
solitary,בודד; יחיד
solitude,בדידות
solution,פיתרון; תמיסה
solve,לפתור
somber,"עגום, קודר, אפלולי"
somewhat,"קצת, במידת-מה"
soothe,"להרגיע, לשכך"
soothing,"מרגיע, משכך"
sophisticated,"מתוחכם, מסובך, מורכב"
sore,"כואב, רגיש"
sorrow,צער
sorry,"מצטער, מתחרט; אומלל, עלוב, מצער"
sort,"למיין, לסווג; סוג, מין"
sound,"קול, צליל"
sour,חמוץ
source,מקור
sovereign,ריבוני
space,רווח; חלל
spacious,"מרוּוח, רחב ידיים"
span,"משך זמן, אורך"
spare,"לחוס על; לתת, לוותר על-; רזרבי, חלופי; פנוי, מיותר"
spark,ניצוץ
sparse,דליל
special,מיוחד
specialist,מומחה
specialty,מומחיות
species,"מין, סוג, זן"
specific,"מסוים, ספציפי"
specify,לפרט; לציין במפורש
specimen,"דוגמה, דגימה"
spectacle,מחזה מרהיב
spectator,צופה
speculate,להעלות השערות
speech,נאום; דיבור
speed,למהר; מהירות
spend,"לבזבז, להוציא; להעביר (זמן)"
spirit,"רוח, נפש, נשמה"
spiritual,רוחני
spite,להכעיס בכוונה
splendid,"מצוין, נהדר, מפואר"
split,לפצל; להתפצל; מפוצל
spoil,לקלקל; להתקלקל; לפנק (מדי)
spoils,"שלל, ביזה"
sponsor,"לתת חסות; נותן חסות, מממן, ספונסר"
spray,"לרסס; תרסיס, ספריי"
spread,לפרושׂ; להפיץ; להתפשט; התפשטות; הפצה
spring,"אביב; מעיין; קפיצה, ניתור; לקפוץ, לזנק"
spy,לרגל; מרגל
squander,לבזבז
squeeze,"לסחוט, ללחוץ; סחיטה, לחיצה; לדחוק, להידחק"
stability,יציבות
stable,יציב; אורווה
stack,לערום; ערימה
stage,"לביים, לבצע; במה; שלב, תקופה"
stagnant,"קופא על שמריו, לא מתפתח"
stamp,בול; חותמת; לרמוס
stare,לנעוץ מבט
startle,"להבהיל, ""להקפיץ"""
starvation,רעב
starve,"לרעוב, לגווע ברעב; להרעיב"
state,"מדינה; מצב; להצהיר, לומר, לטעון"
statement,"הצהרה, הודעה"
static,"נייח, סטטי, לא זז"
station,"תחנה; להציב, למקם"
stationary,נייח
statue,צּסל
stature,שיעור קומה; גָובה
steady,"יציב; סדיר, קבוע; לייצב"
steal,לגנוב
steep,תלול
steer,"לנווט, לנהוג"
stem from,לנבוע מ-
stern,"ירכתיים; קפדן, קשוח, מחמיר"
stiff,"קשה, נוקשה"
still,"עדיין; בכל זאת; שקט, לא נע"
stimulate,"לגרות, להמריץ, לדרבן, לעורר"
storage,אחסון
store,"לאחסן; לאגור, לצבור; חנות"
straight,ישר; זקוף; הוגן
straighten,ליישר; להתיישר
straightforward,"ישר, גלוי; פשוט, ברור"
strain,"להתאמץ; למתוח; עומס, מאמץ; מתח, לחץ"
strange,"מוזר, זר"
stranger,זר
straw,קש
stray,תועה; לתעות; לסטות מ-
stream,זרם; נחל
strength,כוח
strenuous,"מאומץ, דורש מאמץ"
stress,לחץ; להדגיש
strict,"קפדן, מחמיר"
stride,"לצעוד, לפסוע; פסיעה"
strife,"סכסוך, ריב"
strike,לשבות; שביתה; להכות; מכה
strive,"לחתור ל-, לשאוף, להתאמץ"
stroll,לטייל בנחת; טיול בנחת
strong,חזק
structure,מבנה; בניין
struggle,"להיאבק, להתאמץ; מאבק, מאמץ"
stubborn,עקשן
stumble,למעוד
stun,"להמם, לזעזע, להדהים"
stunning,"נהדר, מהמם, נפלא"
stunt,"פעלול, להטוט"
subconscious,תת-מודע
subdue,"להכניע, לדכא, להתגבר על"
subdued,"עמום; מאופק, עצוּר, שקט, מדוכא"
subject,לחשוף מישהו ל-
subject,"כפוף ל-; נושא; נתין, אזרח"
submerge,"לשקע ,לצלול"
submissive,"כנוע, צייתן"
submit,"להיכנע, לקבל מרות; להגיש, להציע"
subordinate,כפוף ל-
subscribe,להיות מנוי
subscription,מנוי
subsequent,שלאחר מכן
subside,"לרדת, לשקוע, לדעוך, להיחלש"
subsist,"להתקיים, לחיות על-"
substance,חומר; תוכן
substantial,"חזק, מוצק; גדול, ניכר; מהותי, ממשי"
substitute,"להחליף, למלא מקום; תחליף; מחליף"
substitution,"החלפה, חילוף"
subtle,"עדין, דק; מתוחכם, מחוכם"
suburb,פרבר
succeed,להצליח; לרשת
success,הצלחה
succession,רציפות; ירושה
successive,"רצופים, בזה אחר זה"
successor,יורש
sudden,פתאומי
suffer,לסבול; להיפגע
sufficient,"מספיק, די"
suggest,להציע; לרמוז
suggestion,הצעה
suit,להתאים ל-; חליפה; תביעה משפטית
suitable,מתאים
sulk,"לזעוף, לשתוק מתוך רוגז"
sum,סכום
sum up,לסכם
summarize,לסכם
summary,"סיכום, תמצית"
summit,פסגה; שיא
summon,"לזמן, לכנס, לקרוא ל-"
superficial,שטחי
superfluous,"מיותר, עודף"
superior,"עולה על, טוב יותר, משובח; ממונה"
superiority,"עליונות, עדיפות"
supernatural,על-טבעי
supervise,"לפקח, להשגיח"
supervision,"פיקוח, השגחה"
supervisor,"מפקח, משגיח"
supplement,"להוסיף, להשלים; תוספת, השלמה"
supply,לספק; לצייד; אספקה
support,לתמוך; תמיכה
suppose,"להניח, לשער"
supposed to,"אמוּר ל-, צריך ל-"
suppress,לדכא; להסתיר
supremacy,עליונות
supreme,"עליון, עילאי"
surface,"פני השטח; משטח; לעלות, להגיח"
surge,עלייה חדה ופתאומית
surgery,ניתוח
surmount,להתגבר על
surpass,"לעלות על, להתעלות על"
surplus,"עודף, יתרה; מיותר, עודף"
surprise,להפתיע; הפתעה
surrender,כניעה; להיכנע; למסור
surround,להקיף; לכתר
surrounding,מקיף
surroundings,סביבה
surveillance,"מעקב, השגחה, פיקוח"
survey,סקר; לסקור
survival,הישרדות
survive,לשרוד
suspect,לחשוד
suspect,חשוד
suspend,"להיות תלוי; להשעות; להשהות, לדחות"
suspense,"מתח, דריכות"
suspicion,חשד
suspicious,חשדני; חשוד
sustain,"לשאת, לתמוך; לקיים"
swamp,בּיצה
sway,להתנדנד; לנענע
swear,להישבע; לקלל
sweep,לטאטא; לסחוף
sweet,מתוק
swell,"להתנפח, לתפוח"
swelling,נפיחות; התנפחות
swift,מהיר
switch,"להחליף, לשנות; שינוי, החלפה; מתג, מפסק"
symbol,סמל; סימן
symbolic,סמלי
synchronize,"לסנכרן, לתאם מבחינת זמנים"
syndicate,"תאגיד, התאגדות"
synonym,מילה נרדפת
system,מערכת; שיטה
systematic,"שיטתי, סיסטמתי"
tablet,"טבלית, גלולה; לוח, טבלה"
tact,"נימוס, טאקט"
tactic,טקטיקה (דרך להשיג מטרה); טקטי
tag,"תג, תווית; לתייג, להצמיד תווית/תג ל-"
taint,"לזהם, להשחית, להכתים"
tale,"סיפור, מעשייה"
talent,כשרון
tame,לאַלף
tangible,"מוחשי, ממשי"
tangle,לסבך; להסתבך
target,מטרה
task,"מטלה, משימה"
taste,לטעום; טעם; חוש הטעם
taunt,"ללעוג, ללגלג"
team,"צוות, קבוצה, נבחרת"
tear,"לקרוע, לתלוש; להיקרע"
tear,דמעה
tease,"להקניט, להרגיז"
tedious,"מייגע, משעמם"
teenager,נער/ה בגיל העשרה
temperament,מזג
temperature,"טמפרטורה, חום"
temporary,זמני
tempt,לפתות
tenacious,"שאינו מרפה, דבק במטרה"
tend,לנטות ל-
tendency,"נטייה, מגמה"
tender,"עדין, רך; מלא רוך/אהבה"
tense,מתוח
tension,"מתח, מתיחה, מתיחות"
term,לכנות; מונח; תקופה
terminal,"מסוף, טרמינל; סופני, חשוך מרפא"
terminate,"להסתיים, לסיים"
terrible,"נורא, איום"
terrific,"נהדר, מצוין"
terrify,"להפחיד מאוד, להבעית"
territory,"תחום, טריטוריה; שטח אדמה"
testify,להעיד
testimony,עדות
texture,"מארג, מרקם, טקסטורה"
thaw,להפשיר; הפשרה
the authorities,"הרשויות, השלטונות"
theme,"נושא, תימה"
thermometer,מדחום
thick,"עבה, צפוף, סמיך"
thicken,לעבות; להתעבות
thorough,יסודי
thoughtful,מתחשב; מהורהר
threat,"איום, סכנה"
threaten,לסכן; לאיים
threshold,"סף, מפתן"
thrill,"רטט, ריגוש; להרטיט, לרגש"
thrive,"לשגשג, להצליח"
throbbing,"רוטט, פועם, הולם"
throw,לזרוק; זריקה
thrust,"לתחוב, לדחוף, לתקוע"
tickle,לדגדג
tidy,"לסדר, לנקות; מסודר, נקי"
tie,לקשור; קשר; עניבה; תיקו
tight,"הדוק, צמוד, לחוץ"
tighten,להדק
tilt,להטות/לנטות בשיפוע
timid,"ביישן, חסר ביטחון"
tiny,"זעיר, קטנטן"
title,"לכנות בשם; כותרת, תואר"
together,ביחד
tolerance,סובלנות
tolerate,לסבול; להרשות
tomb,קבר
tongue,לשון; שפה
too,גם כן; יותר מדי
tool,"כלי, מכשיר"
topic,נושא
torment,"לענות, לייסר"
torment,"עינוי, ייסורים"
torture,עינוי; לענות
total,"שלם, מוחלט; להסתכם ב-"
totally,"לחלוטין, לגמרי"
touch,לגעת; מגע
tough,"קשה, חזק, קשוח"
tour,"לטייל, לסייר; טיול, סיור"
tourism,תיירות
tourist,תייר
tournament,טורניר
tow,לגרור
toxic,רעיל
trace,"לעקוב אחרי; למצוא, לעלות על עקבותיו; עקבות, סימן"
track,"מסלול; לעקוב אחרי; למצוא, לעלות על עקבותיו; עקבות, סימנים"
trade,מסחר; לסחור
tradition,"מסורת, מנהג"
traditional,מסורתי
traffic,תנועה
trail,"לגרור; לעקוב אחרי; שובל, עקבות; שביל"
train,לאמן; להתאמן; רכבת
training,"הכשרה, אימונים"
trait,"תכונה, מאפיין"
traitor,בוגד
trample,"לרמוס, לדרוך"
tranquil,"שֵלו, שקט, רגוע"
tranquility,"שקט, שלוה"
tranquilize,להרגיע
transaction,עסקה
transfer,להעביר; העברה
transform,"לשנות, להפוך"
transient,"ארעי, חולף"
transition,"מעבר, שינוי"
translate,לתרגם
transmit,"לשדר, להעביר"
transparent,"שקוף; ברור, ""שקוף"""
transplant,להשתיל; השתלה
transport,להוביל
transportation,תחבורה
trash,"זבל, אשפה"
travel,לנסוע; נסיעה
tread,"לדרוך, לרמוס; דריכה"
treason,בגידה (במולדת)
treasure,"אוצר, מטמון"
treat,"לטפל; להתייחס אל, להתנהג כלפי-"
treatment,"טיפול, יחס"
treaty,"חוזה, אמנה"
tremble,לרעוד; רעד
tremendous,"עצום, אדיר, גדול מאוד; נפלא, מצוין"
trend,"נטייה, מגמה"
trial,"ניסיון, מבחן; משפט"
tribal,שבטי
tribe,שבט
tribute,אות/דברי הוקרה
trick,"להונות, לרמות; תכסיס, תחבולה, טריק"
tricky,"מטעה, ערמומי"
trigger,"לגרום, לעורר, להפעיל; הדק; גורם"
triple,תלת-; פי שלושה
triumph,לנצח; ניצחון
trivial,"קל ערך, לא חשוב"
trouble,להטריח; להדאיג; צרה
TRUE,"אמיתי, נכון"
trust,"להאמין, לבטוח, לסמוך על; אמון, בטחון"
truth,אמת
try,"לנסות, להשתדל; לשפוט"
turbulence,"סערה, מערבולת, אי שקט"
turbulent,"סוער, רוגש"
turn,"לסובב, להסתובב; סיבוב, פניה; תור"
tutor,מורה פרטי
twice,"כפליים, פעמיים"
twin,"תאום; זהה, תואם"
twist,"לסובב, לעקם; לסלף, לעוות; פיתול, סיבוב; עיקול"
type,"להקליד; סוג, מין, טיפוס"
typical,"אופייני, טיפוסי"
tyrant,"רודן, עריץ"
ultimate,"אולטימטיבי, מוחלט, סופי, אחרון"
unanimous,פה אחד
unconscious,חסר הכרה
undergo,"לעבור, להתנסות ב-, לחוות"
underground,מחתרת; מחתרתי; תת קרקעי
underlie,להיות מונח ביסוד-
underline,להדגיש; למתוח קו מתחת
undermine,"לערער, לחתור תחת"
undertake,לקחת על עצמו
undo,"להתיר, לפרום; לבטל, להחזיר לקדמותו"
unearth,"לחפור, לגלות, לחשוף"
uneasy,"לא נוח, לא שקט, מודאג"
unfortunate,"חסר מזל; מצער, אומלל"
unfortunately,"לרוע המזל, למרבה הצער"
uniform,אחיד; מדים
uniformity,אחידות
unify,לאחד
union,איחוד; איגוד מקצועי
unique,יחיד במינו
unit,יחידה
unite,לאחד; להתאחד
universal,"אוניברסאלי, כללי, עולמי"
universe,יקום
upbringing,"חינוך, גידול ילדים"
update,לעדכן; עדכון
upgrade,"לשדרג, לשפר"
upheaval,"זעזוע, מהפך"
uphold,"לתמוך, לאשר"
uplift,"להרים, לרומם"
upper,עליון
upright,"אנכי, זקוף"
uprising,"התקוממות, מרד"
uproar,המולה גדולה
uproot,לעקור מן השורש
upset,"להסעיר; לשבש, לקלקל"
urban,"עירוני, אורבני"
urge,"להפציר ב-, לנסות לשכנע; דחף, יצר"
urgency,דחיפות
urgent,דחוף
usage,שימוש
use,להשתמש; לנצל
use,שימוש; ניצול
used to,מורגל ל-; נהג ל-
useful,"שימושי, מועיל"
useless,חסר תועלת
utility,"תועלת, תועלתיות"
utilize,"לנצל, להפיק תועלת, למצוא שימוש ל-"
utmost,מירבי; הכי גדול; הכי הרבה
utter,"להשמיע, לבטא; מוחלט, גמור, ממש"
vacancy,מקום פנוי
vacant,"ריק, פנוי"
vacation,חופשה
vaccinate,לחסן
vague,"מעורפל, לא ברור"
vagueness,"אי-בהירות, ערפול"
vain,"יהיר, גאוותן"
valid,תקף
valuable,"בעל ערך, רב-ערך"
value,"ערך, שווי; חשיבות; להעריך; להחשיב"
vanish,להיעלם
variation,"שוני, הבדל, וריאציה"
variety,מגוון
various,"שונים, מגוונים; כמה, אחדים"
vary,לשנות; להשתנות; לגוון
vast,"נרחב, עצום, גדול מאוד"
vehicle,כלי רכב
veil,"רעלה, הינומה; מעטה, מסווה"
vengeance,נקמה
venture,"להסתכן, להעז"
verbal,מילולי; בעל-פה
verdict,פסק דין
verification,אימות
verify,לאמת
versatile,"רב גוני, רב שימושי, ורסטילי"
version,"גרסה, נוסח"
vertical,"אנכי, מאונך, ניצב"
vessel,כלי שיט; כלי קיבול
veteran,"ותיק, מנֶוסה; חייל משוחרר"
vibrant,"נמרץ, מלא חיים"
vicinity,סביבה; קירבה
vicious,"אכזרי, מרושע"
victim,קורבן
victorious,מנצח
victory,ניצחון
view,"להשקיף; השקפה, דעה; נוף"
vigilant,"ערני, עומד על המשמר"
vigor,"כוח, מרץ"
vigorous,"נמרץ, חזק"
villain,"נבל, רשע"
vindictive,"נוקם, נקמני"
vintage,בציר טוב
violate,"להפר, לפעול בניגוד"
violence,אלימות
violent,אלים
virtual,"מדומה, וירטואלי"
virtually,"למעשה, בעצם"
virtue,"מעלה, סגולה, מידה טובה"
visible,"גלוי, ברור, נראה לעין"
vision,"חזון, מעוף; תמונה בדמיון; כושר ראייה"
visit,לבקר; ביקור
visitor,"מבקר, אורח"
vital,חיוני
vivacious,"מלא חיים, עליז"
vivid,"עז, מבהיק; חי, תוסס; ברור"
vocabulary,אוצר מילים
voice,"קול; להביע דעה, להשמיע"
void,"ריק, חסר-; ריק, חלל"
volcano,הר געש
volume,עוצמת הקול; נפח; כמות גדולהֶ; כּרך
voluntary,"בהתנדבות, מרצון"
volunteer,מתנדב; להתנדב; לנדב
vote,"להצביע, לבחור"
vouch,"לערוב ל-, להיות ערב ל-"
vow,נדר; לנדור
voyage,מסע
vulnerable,"פגיע, חלש"
wage,"לערוך (מלחמה, וכו ); משכורת, שכר"
wail,ליילל
wake,להתעורר; לעורר
wander,"לשוטט, לנדוד"
war,מלחמה
warehouse,מחסן
warm,להתחמם; לחמם; חם; לבבי
warmth,"חום, חמימות, לבביות"
warn,"להזהיר, להתרות"
warning,אזהרה
wary,"זהיר, חשדני"
waste,בזבוז; לבזבז
wasteful,בזבזני
watch,"להתבונן, לצפות; לשמור; להיזהר; שעון"
wave,לנופף; גל
way,"דרך, שביל; אופן, שיטה"
weak,חלש
weaken,להחליש; להיחלש
weakness,חולשה
wealth,"עושר, שפע"
wealthy,עשיר
weapon,נשק
wear,ללבוש
wear off,"לפוג, להיעלם"
wear out/down,להתיש; לשחוק
weary,עייף; מעייף
weather,מזג אויר
weave,"לטוות, לרקום, לארוג"
week,שבוע
weekday,יום חול
weekend,סוף שבוע
weekly,שבועי
weep,"לבכות, להתייפח"
weigh,לשקול
weight,"משקל; חשיבות, השפעה; משקולת"
weird,"מוזר, משונה"
welcome,"לברך לשלום, לקדם בברכה; רצוי"
welfare,"סעד, רווחה"
well,היטב; בּאר; בריא
well known,"מוכר, ידוע, מפורסם"
when,מתי; כאשר
where,איפה; לאן
whine,"ליילל, לייבב, ""להתבכיין"""
whip,להצליף; שוט
whirl,"לסובב מהר; להסתובב מהר; סיבוב מהיר, מערבולת"
whisper,ללחוש; לחישה
whistle,לשרוק; שריקה; משרוקית
whole,שלם; כולו
wholesale,בסיטונות
wholesome,בריא
wholly,"לחלוטין, לגמרי"
wicked,"מרושע, זדוני"
wide,רחב; נרחב
widen,להרחיב; להתרחב
widow,אלמנה
widower,אלמן
width,רוחב
wild,"פראי, סוער; בר (לא מבוית)"
will,"כוח רצון, רצון; צוואה"
willing,"מוכן, מסכים; רוצה"
win,"לזכות, לנצח; זכייה, ניצחון"
wind,רוּח
wind,"להתפתל; ללפף, לכרוך"
wipe,לנגב; למחוק
wire,"תיל, חוט"
wireless,אלחוטי
wisdom,"חוכמה, תבונה"
wise,"חכם, נבון"
wish,"לרצות, לקוות; לאחל; רצון, משאלה"
wit,"פיקחות, שכל; שנינות, חריפות"
with regard to,בנוגע ל-
withdraw,"לסגת, לפרוש; לקחת בחזרה"
withdrawal,"נסיגה, פרישה"
wither,"לנבול, לקמול"
withhold,"למנוע מ-, לסרב לתת"
withstand,"לעמוד ב-, לשאת"
witness,עד; להיות עד ל-
witty,"שנון; פיקח, חריף"
woe,"יגון, צער"
wonder,"להתפלא; לתהות, לפקפק; פלא, נס; פליאה, השתאות"
wonderful,"נהדר, נפלא"
wood,עץ; חורש
wooden,עשוי מעץ
wool,צמר
woolen,עשוי מצמר
work,לפעול; לעבוד; עבודה; מקצוע; יצירה
workshop,בית מלאכה
world,עולם
worldwide,כלל עולמי
worry,לדאוג; להדאיג; דאגה
worse,גרוע יותר
worship,"לסגוד, להעריץ; סגידה, הערצה; פולחן"
worst,הגרוע ביותר
worth,"ראוי, שווה, כדאי"
worthless,חסר ערך
worthwhile,"כדאי, משתלם"
wound,"לפצוע, לפגוע; פצע, פציעה"
wrap,"לעטוף, לכסות"
wreck,להרוס; חורבה; גרוטאה
wrestle,"להיאבק, להתגושש"
wrinkle,לקמט; להתקמט; קמט
write,לכתוב
wrong,"לא בסדר; לא נכון; עוול, אי-צדק"
yawn,לפהק; פיהוק
year,שנה
yearly,"שנתי, מדי שנה"
yearn,"לערוג, להשתוקק, להתגעגע"
yield,"להניב, להפיק; להיכנע"
zeal,"התלהבות, מסירות, להיטות; קנאות"
zealous,"מסוּר, נלהב; קנאי"
zenith,"שיא, גולת כותרת"
zero,אפס
zip,לרכוס (רוכסן)
zipper,רוכסן
zone,איזור
